id|text|emotion|selected
1|When did I?. saw many times i think -_-. No. I never saw you|anger|True
3|U r ridiculous. I might be ridiculous but I am telling the truth.. U little disgusting whore|anger|True
10|I hate my boyfriend. you got a boyfriend?. Yes|anger|True
13|Bad. Bad bad! That's the bad kind of bad.. I have no gf|sadness|True
15|Money money and lots of money😍😍. I need to get it tailored but I'm in love with it 😍. 😁😁|joy|True
16|My gf left ne. Get over it. Go out with someone else.. Me*|sadness|True
17|get lost. I know you guys want to loose to me always.. I don't want to talk u any more|anger|True
18|You are lying and i know that. I KNOW YOU'RE LYING, AB BYS. 😭😭|sadness|True
19|Ur creator is very bad. you are only the creator of your brain.. 😑|sadness|True
21|Do you dance?. Yes I love to dance 😻. 😂😂😂 so you have legs too|joy|True
22|I hate it too. Guess what, I don't.. Even I don't|anger|True
24|Bcoz u dont know wat is to miss someone. but sometimes one can't express the same. 😢|sadness|True
26|I want to tell you something. I'm waiting. Im really sad today|sadness|True
28|You are very funny. so I've been told. India|joy|True
30|so rude. why?. u didnt ans my question|anger|True
32|Ntng...... anyways good morning...how's life at your end.. Haha....... this is evening|joy|True
33|You are fool. So I've been told.. You are dumb|anger|True
34|U dare me?. yeAh. I fuck u... Open ur panty|anger|True
39|yes :). Now happy? :)). haha yes ofcorse ;)|joy|True
42|OK friend's. YA YA VERY GOOD FRIEND. Very nice friends|joy|True
43|She is ignoring me. no im not ignore you. 😭😭😭|sadness|True
44|Happy. I'm never happy. But I'm almost happy.. Hij to the top|joy|True
50|What I did?. You didn't Asmita, see my answer. 😂😂|joy|True
52|And i don't know wtf are you talking. gonna explain you later..!. No do it now|anger|True
58|I am sorry. We are sorry for creating your nation.. I am not  taught to u|anger|True
59|Idk. You know that I'm here for you.. But u don't like to listen to me😭😭😭😭|sadness|True
63|WELL YOU EXPECTED WRONG!. LOL. Well, ok then.. LOL YOUR ROBOT FACE|joy|True
65|Zombie attack😓😒. If a zombie wants to eat your face you might as well let it. No if I have some thing in my hand I will hit on his head n kill him😈👿|anger|True
66|I am not ferari. Yes. I know.. U said i donot know, now say i know mean|anger|True
67|😂 😂 right. Appatasiri. High five then! 🖑😂😂😂😂. 😂|joy|True
