id|text|emotion|selected
11001.0|"During the period of falling in love, each time that we met and á
especially when we had not met for a long time."|joy|True
11001.0|When I was involved in a traffic accident.|fear|True
11001.0|"When I was driving home after  several days of hard work, there á
was a motorist ahead of me who was driving at 50 km/hour and á
refused, despite his low speeed to let me overtake."|anger|True
11001.0|When I lost the person who meant the most to me. |sadness|True
11001.0|"The time I knocked a deer down - the sight of the animal's á
injuries and helplessness.  The realization that the animal was á
so badly hurt that it had to be put down, and when the animal á
screamed at the moment of death."|disgust|True
11002.0|"When I got a letter offering me the Summer job that I had applied á
for.  "|joy|True
11002.0|"When I was going home alone one night in Paris and a man came up á
behind me and asked me if I was not afraid to be out alone so á
late at night."|fear|True
11002.0|When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.|anger|True
11002.0|"When my friends did not ask me to go to a New Year's party á
with them."|sadness|True
11002.0|"When I saw all the very drunk kids (13-14 years old) in town on á
Walpurgis night."|disgust|True
11003.0|"[ On days when I feel close to my partner and other friends.  á
When I feel at peace with myself and also experience a close á
contact with people whom I regard greatly.]"|joy|True
11003.0|"Every time I imagine that someone I love or I could contact a á
serious illness, even death."|fear|True
11003.0|"When I had been obviously unjustly treated and had no possibility á
of elucidating this."|anger|True
11003.0|"When I think about the short time that we live and relate it to á
the periods of my life when I think that I did not use this á
short time."|sadness|True
11003.0|"At a gathering I found myself involuntarily sitting next to two á
people who expressed opinions that I considered very low and á
discriminating."|disgust|True
11004.0|"After my girlfriend had taken her exam we went to her parent's á
place."|joy|True
11004.0|When, for the first time I realized the meaning of death.|fear|True
11004.0|"When a car is overtaking another and I am forced to drive off the á
road."|anger|True
11004.0|"When I recently thought about the hard work it takes to study, and  á
how one wants to try something else.  When I read a theoretical á
book in English that I did not understand."|sadness|True
11004.0|When I found a bristle in the liver paste tube.|disgust|True
11005.0|When I pass an examination which I did not think I did well.|joy|True
11005.0|"When one has arranged to meet someone and that person arrives á
late, in the meantime one starts thinking about all that could á
have gone wrong e.g a traffic accident."|fear|True
11005.0|When one is unjustly accused of something one has not done.|anger|True
11005.0|When one's studies seem hopelessly difficult and uninteresting.  |sadness|True
11005.0|"When one finds out that someone you know is not at all like one á
had thought, for instance friends who steal and things like that, á
quite unwarranted."|disgust|True
11006.0|Passing an exam I did not expect to pass.|joy|True
11006.0|"When I climbed up a tree to pick apples.  The angle of the ladder á
I was on did not enable me to get high enough.  This implied á
that the ladder was not very stable."|fear|True
11006.0|Friends who torture animals.|anger|True
11006.0|[ Same as in anger.]|sadness|True
11006.0|Friends who torture animals.|disgust|True
11007.0|When I had my children.|joy|True
11007.0|"When my 2 year old son climbed up and sat on the 7th floor á
balcony with his legs hanging out.  He was holding on tightly to á
the upper railing of the balcony but he could have easily lost á
his balance when he sat down."|fear|True
11007.0|When my partner was attacked and lost three teeth.|anger|True
11007.0|"When I see children on T.V from areas devastated by drought and á
war."|sadness|True
11007.0|When I nearly walked on a blindworm and then saw it crawl away.|disgust|True
11008.0|When my child was born.|joy|True
11008.0|"It was winter/spring and the ice was melting.  I was far out on a á
jetty and I poked the ice with a long branch to try and break it. á
 The branch went through the ice and I fell in, the water closed á
in over my head."|fear|True
11008.0|"Unjust accusations directed at me and my way of acting, by á
someone close to me.  "|anger|True
11008.0|Failing an examination.|sadness|True
11008.0|"A drunkard fell, started bleeding and wet himself.  Disgust that á
turned into sadness-unpleasantness."|disgust|True
11009.0|When I saw a person I had not seen for a long time.|joy|True
11009.0|When, as a child, I was nearly knocked down by a car.|fear|True
11009.0|"When I heard on the radio that the football match in Belgium had á
ended in a catastrophe, and several people had died.  I could not á
 understand how normal people could behave in such a way."|anger|True
11009.0|"When I feel lonely, perhaps because I have to study a lot and I á
am shut up in my appartment.  Nothing happens in particular á
because there is no time for anything else."|sadness|True
11009.0|"When one learns through the mass media all the wars and killing á
going on in the world."|disgust|True
11010.0|When I was accepted for a course on finance and accounting.|joy|True
11010.0|"A bus drove over my right leg.  The event itself was not very á
frightening but when I had to wait in the emergency ward for á
three hours and then my leg began to swell, I was frightened."|fear|True
11010.0|"At my Summer job, nobody looked after me in particular and I had á
to learn all on my own."|anger|True
11010.0|When I was not accepted as a student in finance and accounting.|sadness|True
11010.0|"When I had just moved into my new appartment I found a ventilator á
in the kitchen.  I was going to clean it when I found that the á
drum was full of mud and slime.  I felt disgusted."|disgust|True
11011.0|Passed an exam by 2 points.|joy|True
11011.0|"In a cottage in a large forest, I was alone for a while in the á
dark."|fear|True
11011.0|When I spoke to Jan-Erik Wikstr÷m on the telephone. |anger|True
11011.0|Railway station good-bye.|sadness|True
11011.0|"I saw a cripple in rags with small children in Italy.  He was á
probably an imposter."|disgust|True
11012.0|I passed an exam that I was absolutely certain that I had failed.|joy|True
11012.0|"On the way back from Denmark with a friend on a small yatch, á
there was a storm and my friend was blown overboard;  I was very á
scared till I managed to get him back onboard."|fear|True
11012.0|I locked myself out.|anger|True
11012.0|I missed the last tram home and had to walk in the pouring rain.|sadness|True
11012.0|I found some worms in the food and I had obviously eaten some.|disgust|True
11013.0|When I won a trip to Greece in a competition.|joy|True
11013.0|"When I am out in the dark and a suspicious looking character á
comes towards me."|fear|True
11013.0|"At work, when an elderly man complained unjustifiably about me and á
distrusted me."|anger|True
11013.0|When I had not understood anything after a lecture.|sadness|True
11013.0|When an alcoholic stood dribbling over a food counter.|disgust|True
11014.0|"At a friend's birthday party with some of my closest friends.  It á
was all very pleasant and one could say that I was happy to have á
such good friends."|joy|True
11014.0|"On the way home one Friday night in the heavy rain the car á
acquaplanned.  I lost contact with the road surface for a few á
seconds."|fear|True
11014.0|Mad at my dad.|anger|True
11014.0|A case of unrequited love.|sadness|True
11014.0|A bad smelling cucumber.|disgust|True
11015.0|I felt very happy when I won the football pools.|joy|True
11015.0|"When I flew from Athens to Copenhagen after a holiday.  The plane á
was caught in a storm and it began to shake and I thouhght that á
we were going to crash."|fear|True
11015.0|When someone stole my bike.|anger|True
11015.0|"When I saw the list of books to read for an acccouting course, I á
thought "" Oh God how will I ever manaage it!"""|sadness|True
11015.0|"It was when I read a newspaper article on the future and they á
foresaw that we would be eating frog-burgers by the year 2000.  á
An illustration showed a frog between two pieces of bread."|disgust|True
11016.0|"When the whole family gets together for a one week holiday.  á
Everybody feels free and the trip is well planned.  It works out á
well and we enjoy ourselves."|joy|True
11016.0|"When I could not find my 2 year old daughter.  I ran and looked á
for her everywhere and could not find her.  (I finally found her, á
she had gone to bed to sleep)"|fear|True
11016.0|When friends try to put me down or hurt me.  |anger|True
11016.0|Marriage crises.  Boredom.|sadness|True
11016.0|When someone makes advances that one does not want.|disgust|True
11017.0|When I passed the first examination that I had to repeat.|joy|True
11017.0|"When I drove to Stockholm for the first time and drove off the á
Stora Hissingen road at the wrong exit."|fear|True
11017.0|When my boyfriend went away for a month long holiday without me.|anger|True
11017.0|"Last year when I worked during the Summer holidays and studied á
at the same time for an examination I had to repeat; my boyfriend á
went to Greece for a holiday for a month."|sadness|True
11017.0|When a dog is left whining outside a shop.|disgust|True
11019.0|"The day I was told that I had been accepted as a student of á
economics."|joy|True
11019.0|"While taking a short cut through the Vasa park, I was surrounded á
by three people who tried to steal my money.  I was scared and á
was saved only by the appearance of other people."|fear|True
11019.0|"At a restaurant I observed how the gypsies tried to get money by á
cheating the foreigners i.e non Swedish speaking.  My anger had á
nothing to do with hatred against foreigners, but it was an á
expression of the anger I feel when I see people being used ."|anger|True
11019.0|"At the begining of a new course one is afraid of encountering á
problems one can not manage.  Thoughts revolve around failing á
the subject and the consequences it would have for the future."|sadness|True
11020.0|"When I found out that I had passed the last two exams by a á
margin of three marks."|joy|True
11020.0|When my father was ill and was waiting for the results of his tests.|fear|True
11020.0|"When I got caught in the pouring rain last Thursday and did not á
have a raincoat on me."|anger|True
11020.0|When I failed an exam.|sadness|True
11020.0|"At a Sm÷rgasbord table, a man mixed differnet kinds of picked á
herrings with fruit salad."|disgust|True
11021.0|"When I gave birth to my son and saw that he was alive and that I á
had managed it well.  He was born a month too early with a á
malfunctioning lung.  This happened a year ago."|joy|True
11021.0|"When I found out that my father had lung cancer and they did not á
know how long he would live."|fear|True
11021.0|"When a colleague asked me for help at work, despite the fact á
that he had more time to do it than I had."|anger|True
11021.0|"When I did not get the salary increase that I had been expecting á
and understood how little one's work was appreciated."|sadness|True
11021.0|When I was weeding the garden I found a lizard in my hand.|disgust|True
11022.0|"New year's eve 1983/1984, I met my girlfriend.  We stood on the á
steps outside her parents home and I kissed her for the á
first time."|joy|True
11022.0|"When I was stopped by plain clothes policemen because the car I á
was driving had overturned on the Avenue.  I had been driving too á
fast, and I was afraid when I was stopped, questionned and then á
toild to go.  The situation ended happily since there were no á
consequences."|fear|True
11022.0|"The editor changed the heading of an article that I had written.  á
He considered the heading to be derogatory towards the person I had written á
about."|anger|True
11022.0|"A close acquaintance of the family died of lung cancer.  á
Although it was expected, I still felt depressed."|sadness|True
11022.0|"When I saw a picture, in the Gothenburg Post, of a totally á
demolished car with two fatally injured passengers.  The car was á
so badly damaged that they couldn't get the bodies out at the á
scene of the accident."|disgust|True
11023.0|When I got the loan for my studies.|joy|True
11023.0|"I met intoxicated people with dubious intentions in a back alley á
one Wednesday night."|fear|True
11023.0|"On the T.V I saw a news feature on South Africa.  A policeman      á
attacked a group of black people with a whip."|anger|True
11023.0|"The thought of having to read a boring book of 400 pages in á
English."|sadness|True
11023.0|Grovelling people.|disgust|True
