id|text|experiencer|emotion|cause|selected
7520A|I felt ... when I passed my exams. I had worked hard and felt very ... to know that I had succeeded in something.|WRITER|joy|I passed my exams|True
7520B|I felt ... when I passed my exams. I had worked hard and felt very ... to know that I had succeeded in something.|WRITER|joy|I passed my exams|True
7520C|I felt ... when I passed my exams. I had worked hard and felt very ... to know that I had succeeded in something.|WRITER|joy|I passed my exams.|True
7520D|I felt ... when I passed my exams. I had worked hard and felt very ... to know that I had succeeded in something.|WRITER|joy|I passed my exams|True
8288A|I felt ... when I lost a cherished piece of jewellery I was given by a relative.|WRITER|sadness|I lost a cherished piece of jewellery|True
8288C|I felt ... when I lost a cherished piece of jewellery I was given by a relative.|WRITER|sadness|I lost a cherished piece of jewellery|True
8288D|I felt ... when I lost a cherished piece of jewellery I was given by a relative.|WRITER|sadness|I lost a cherished piece of jewellery I was given by a relative|True
8288D|I felt ... when I lost a cherished piece of jewellery I was given by a relative.|a relative|sadness|I lost a cherished piece of jewellery I was given by a relative|True
7820A|I felt ... because there was a very loud and unexpected bang behind me.|WRITER|surprise|there was a very loud and unexpected bang|True
7820B|I felt ... because there was a very loud and unexpected bang behind me.|WRITER|fear|there was a very loud and unexpected bang|True
7820C|I felt ... because there was a very loud and unexpected bang behind me.|WRITER|surprise|there was a very loud and unexpected bang behind me.|True
7820D|I felt ... because there was a very loud and unexpected bang behind me.|WRITER|surprise|there was a very loud and unexpected bang behind me|True
7908A|I felt...because someone was yelling at me in a threatening manner when I did something wrong.|WRITER|sadness|someone was yelling at me in a threatening manner|True
7908A|I felt...because someone was yelling at me in a threatening manner when I did something wrong.|someone|anger|someone was yelling at me in a threatening manner|True
7908B|I felt...because someone was yelling at me in a threatening manner when I did something wrong.|WRITER|fear|someone was yelling at me in a threatening manner when I did something wrong|True
7908C|I felt...because someone was yelling at me in a threatening manner when I did something wrong.|someone|anger|someone was yelling at me|True
7908C|I felt...because someone was yelling at me in a threatening manner when I did something wrong.|WRITER|fear|someone was yelling at me|True
7908D|I felt...because someone was yelling at me in a threatening manner when I did something wrong.|WRITER|fear|someone was yelling at me in a threatening manner|True
7908D|I felt...because someone was yelling at me in a threatening manner when I did something wrong.|someone|anger|someone was yelling at me in a threatening manner|True
7683A|I felt ... when I received a postage stamp that I had bought online for my collection - it was in excellent condition and completed a set that I had been accumulating since childhood.|WRITER|joy|I received a postage stamp|True
7683B|I felt ... when I received a postage stamp that I had bought online for my collection - it was in excellent condition and completed a set that I had been accumulating since childhood.|WRITER|joy|I received a postage stamp that I had bought online for my collection|True
7683C|I felt ... when I received a postage stamp that I had bought online for my collection - it was in excellent condition and completed a set that I had been accumulating since childhood.|WRITER|joy|I received a postage stamp|True
7683D|I felt ... when I received a postage stamp that I had bought online for my collection - it was in excellent condition and completed a set that I had been accumulating since childhood.|WRITER|joy|I received a postage stamp that I had bought online for my collection|True
8274A|I felt ... when we bought a puppy.|we|joy|we bought a puppy|True
8274B|I felt ... when we bought a puppy.|WRITER|joy|we bought a puppy|True
8274C|I felt ... when we bought a puppy.|WRITER|joy|we bought a puppy.|True
8274D|I felt ... when we bought a puppy.|WRITER|joy|we bought a puppy|True
8297A|I felt...when I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week.|my partner|joy|my partner eating his Christmas dinner|True
8297A|I felt...when I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week.|WRITER|disgust|he ate like an animal who'd not seen food for a week|True
8297B|I felt...when I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week.|WRITER|disgust|I watched my partner eating his Christmas dinner because he ate like an animal|True
8297C|I felt...when I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week.|WRITER|disgust|he ate like an animal|True
8297D|I felt...when I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week.|WRITER|disgust|I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week|True
8297D|I felt...when I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week.|my partner|joy|I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week|True
8348A|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|a small bunch of drunk young guys|joy|a small bunch of drunk young guys taunting a homeless person|True
8348A|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|a homeless person|sadness|a small bunch of drunk young guys taunting a homeless person|True
8348A|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|WRITER|sadness|a small bunch of drunk young guys taunting a homeless person|True
8348B|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|a small bunch of drunk young guys|joy|a small bunch of drunk young guys taunting a homeless person|True
8348B|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|a homeless person|fear|a small bunch of drunk young guys taunting a homeless person|True
8348B|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|WRITER|anger|a small bunch of drunk young guys taunting a homeless person|True
8348C|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|a homeless person|sadness|I saw a small bunch of drunk young guys taunting a homeless person|True
8348C|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|WRITER|anger|I saw a small bunch of drunk young guys taunting a homeless person|True
8348D|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|WRITER|anger|I saw a small bunch of drunk young guys taunting a homeless person|True
8348D|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|a homeless person|sadness|I saw a small bunch of drunk young guys taunting a homeless person|True
8348D|I felt...when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.|a small bunch of drunk young guys|joy|I saw a small bunch of drunk young guys taunting a homeless person|True
7847A|I felt ... when I had to climb a ladder to do a job on the gutters.|WRITER|fear|I had to climb a ladder|True
7847B|I felt ... when I had to climb a ladder to do a job on the gutters.|WRITER|fear|I had to climb a ladder to do a job on the gutters|True
7847C|I felt ... when I had to climb a ladder to do a job on the gutters.|WRITER|fear|I had to climb a ladder|True
7847D|I felt ... when I had to climb a ladder to do a job on the gutters.|WRITER|fear|I had to climb a ladder to do a job on the gutters|True
7828A|I felt ... when a drunk man insulted my intelligence.|WRITER|surprise|a drunk man insulted my intelligence|True
7828B|I felt ... when a drunk man insulted my intelligence.|WRITER|anger|a drunk man insulted my intelligence|True
7828C|I felt ... when a drunk man insulted my intelligence.|WRITER|anger|a drunk man insulted my intelligence.|True
7828D|I felt ... when a drunk man insulted my intelligence.|a drunk man|anger|a drunk man insulted my intelligence|True
8275A|I feel ... when I see the Christmas decorations come down, and know they won't be up again for another year.|WRITER|joy|I see the Christmas decorations come down|True
8275B|I feel ... when I see the Christmas decorations come down, and know they won't be up again for another year.|WRITER|sadness|I see the Christmas decorations come down, and know they won't be up again for another year|True
8275C|I feel ... when I see the Christmas decorations come down, and know they won't be up again for another year.|WRITER|sadness|I see the Christmas decorations come down,|True
8275D|I feel ... when I see the Christmas decorations come down, and know they won't be up again for another year.|WRITER|sadness|I see the Christmas decorations come down, and know they won't be up again for another year|True
8243A|I felt ... when Liverpool beat Manchester United.|WRITER|joy|Liverpool beat Manchester United|True
8243B|I felt ... when Liverpool beat Manchester United.|WRITER|joy|Liverpool beat Manchester United|True
8243C|I felt ... when Liverpool beat Manchester United.|Liverpool|joy|Liverpool beat Manchester United.|True
8243C|I felt ... when Liverpool beat Manchester United.|Manchester United|sadness|Liverpool beat Manchester United.|True
8243D|I felt ... when Liverpool beat Manchester United.|WRITER|joy|Liverpool beat Manchester United|True
8243D|I felt ... when Liverpool beat Manchester United.|Manchester United|sadness|Liverpool beat Manchester United|True
8243D|I felt ... when Liverpool beat Manchester United.|Liverpool|joy|Liverpool beat Manchester United|True
